timestamp,service,resource,region,cpu_utilization,memory_utilization,requests,storage_gb,network_gb,hours_used,current_cost
2026-05-01T17:00:00,Compute,compute-i-0001,us-west-2,41.39535407075272,59.49582930697251,193.0,233.0153532555794,2.060710599531973,1.0,0.2814639539578776
2026-05-01T17:00:00,Compute,compute-i-0002,eu-west-1,47.44801961068732,64.89285823971434,198.0,278.83799097060347,1.9741364320315542,1.0,0.27367227888283985
2026-05-01T17:00:00,Compute,compute-i-0003,ap-southeast-1,47.01833490149909,59.22562710959881,207.0,85.40007117928444,1.885806405724498,1.0,0.2657225765152048
2026-05-01T17:00:00,Compute,compute-i-0004,us-east-1,46.90569098681404,54.73215114555636,188.0,206.73732720410015,2.105422328647153,1.0,0.2854880095782438
2026-05-01T17:00:00,Database,database-db-0001,us-west-2,54.740935177411934,65.95520382701432,6507.0,389.6326837875731,4.356004641800448,1.0,0.5997223090436442
2026-05-01T17:00:00,Database,database-db-0002,eu-west-1,53.08066932422718,71.27482874757703,6563.0,483.00099086084043,2.9866378774460527,1.0,0.49119920616055107
2026-05-01T17:00:00,Database,database-db-0003,ap-southeast-1,51.93854777861158,69.74902914554832,6513.0,457.45897403791105,4.210368343686844,1.0,0.5973012057460074
2026-05-01T17:00:00,Database,database-db-0004,us-east-1,54.26707131834621,69.04939118369401,6243.0,266.5874453111044,3.677092093433663,1.0,0.5191835407525598
2026-05-01T17:00:00,Object Storage,objstore-bucket-0001,us-west-2,,,10409.0,2644.7296576748404,7.229821237846511,1.0,0.7381746102096399
2026-05-01T17:00:00,Object Storage,objstore-bucket-0002,eu-west-1,,,9920.0,1742.9563795822162,6.710475923228039,1.0,0.6628258971047576
2026-05-01T17:00:00,Object Storage,objstore-bucket-0003,ap-southeast-1,,,10088.0,3734.1567674682237,6.957399986324363,1.0,0.7478527133606573
2026-05-01T17:00:00,Object Storage,objstore-bucket-0004,us-east-1,,,10338.0,4894.014835925272,6.306573700531401,1.0,0.7259218210290334
2026-05-01T17:00:00,Serverless,serverless-fn-0001,us-west-2,34.479642355071334,51.85884672196789,2442.0,0.851863889687503,1.151611034720314,0.7014345543736469,0.14371269862812822
2026-05-01T17:00:00,Serverless,serverless-fn-0002,eu-west-1,41.65920628476045,52.18010890393916,2854.0,1.394755156026999,0.989178032914225,0.24470501302484926,0.09352730050046469
2026-05-01T17:00:00,Serverless,serverless-fn-0003,ap-southeast-1,43.46111443435097,50.254379335444796,2712.0,1.1640062754699607,1.2632467515273154,0.6883207576212041,0.1373945313820985
2026-05-01T17:00:00,Serverless,serverless-fn-0004,us-east-1,39.03591493397662,52.86847804229702,2640.0,0.7982031329408826,1.094320341356748,0.215281980234148,0.10964633144052717
2026-05-01T18:00:00,Compute,compute-i-0001,us-west-2,45.929172711774875,50.40740502579017,200.0,239.92991588105465,2.0678398349660188,1.0,0.2821055851469417
2026-05-01T18:00:00,Compute,compute-i-0002,eu-west-1,45.67125125482419,56.70726220580894,183.0,271.58612673836564,1.9623850568615724,1.0,0.2726146551175415
2026-05-01T18:00:00,Compute,compute-i-0003,ap-southeast-1,43.352359561839236,57.950600683562854,199.0,79.42287949808916,1.8803987165429419,1.0,0.26523588448886476
2026-05-01T18:00:00,Compute,compute-i-0004,us-east-1,40.638185625430836,59.48395795797972,192.0,208.02878588054958,1.7929064886673953,1.0,0.2573615839800656
2026-05-01T18:00:00,Database,database-db-0001,us-west-2,50.83540535852618,68.4182290974955,6083.0,389.7054679856658,3.70880515409067,1.0,0.5414010211535735
2026-05-01T18:00:00,Database,database-db-0002,eu-west-1,53.77349933958266,69.01639196238263,6376.0,483.05566669018197,3.5800171260210067,1.0,0.5445745518478782
2026-05-01T18:00:00,Database,database-db-0003,ap-southeast-1,51.80402591257365,72.95563873612143,6207.0,457.51045505855024,3.732764357714198,1.0,0.5542637570322685
2026-05-01T18:00:00,Database,database-db-0004,us-east-1,49.80700067687509,68.63590953612011,5960.0,266.62751327456357,3.9090499094242848,1.0,0.5400094562681511
2026-05-01T18:00:00,Object Storage,objstore-bucket-0001,us-west-2,,,10180.0,2644.8683666046136,6.638608038972483,1.0,0.6848781925923263
2026-05-01T18:00:00,Object Storage,objstore-bucket-0002,eu-west-1,,,9897.0,1744.167501269753,6.9044135691711945,1.0,0.6803092438681532
2026-05-01T18:00:00,Object Storage,objstore-bucket-0003,ap-southeast-1,,,10349.0,3735.0554909241087,5.5021078505002405,1.0,0.6170091370809867
2026-05-01T18:00:00,Object Storage,objstore-bucket-0004,us-east-1,,,9582.0,4894.576936803753,6.735594375370569,1.0,0.7642489917922366
2026-05-01T18:00:00,Serverless,serverless-fn-0001,us-west-2,42.17585172250617,47.27270174234752,2543.0,0.8670782490809318,0.9946971944212414,0.7304455658362752,0.13124763492415734
2026-05-01T18:00:00,Serverless,serverless-fn-0002,eu-west-1,43.664991553444885,42.43397408019323,2372.0,1.3883295795291182,0.9084384154774349,0.2033778174123835,0.08550053318854499
2026-05-01T18:00:00,Serverless,serverless-fn-0003,ap-southeast-1,38.826993080068625,52.52218522155041,2509.0,1.1221020580482663,1.0242446699965195,0.6367982230352512,0.11411016568143531
2026-05-01T18:00:00,Serverless,serverless-fn-0004,us-east-1,34.01704586292987,50.089273707681365,2469.0,0.8287834385167719,1.0226705537667402,0.20133757924170886,0.10247514880634703
2026-05-01T19:00:00,Compute,compute-i-0001,us-west-2,39.37753126310602,54.48426620006961,172.0,229.06794621339793,1.8984735964718822,1.0,0.2668626236824694
2026-05-01T19:00:00,Compute,compute-i-0002,eu-west-1,38.21965123564279,53.350338351898344,180.0,291.7457249031398,1.7862658900169328,1.0,0.256763930101524
2026-05-01T19:00:00,Compute,compute-i-0003,ap-southeast-1,42.174864344425565,50.342378334766856,180.0,81.55373582909291,2.0900045294831195,1.0,0.28410040765348077
2026-05-01T19:00:00,Compute,compute-i-0004,us-east-1,47.429377198557695,58.40908618102209,170.0,205.43265614409705,2.046946156118922,1.0,0.280225154050703
2026-05-01T19:00:00,Database,database-db-0001,us-west-2,49.10849896717187,65.52961342949979,5860.0,389.7827318220786,3.435382330699027,1.0,0.5167605387485823
2026-05-01T19:00:00,Database,database-db-0002,eu-west-1,49.035216233299444,61.573840926834976,5501.0,483.27714206080924,3.3167041653943685,1.0,0.5207362753471275
2026-05-01T19:00:00,Database,database-db-0003,ap-southeast-1,47.46527805911377,62.65069301654529,5929.0,457.53389126779035,3.274831881113626,1.0,0.5129979261437824
2026-05-01T19:00:00,Database,database-db-0004,us-east-1,42.29764669100198,63.18250247061811,6111.0,266.79849299628097,3.786259103123272,1.0,0.5290154188627003
2026-05-01T19:00:00,Object Storage,objstore-bucket-0001,us-west-2,,,8746.0,2645.1251898947335,5.297000797532104,1.0,0.5635680325553947
2026-05-01T19:00:00,Object Storage,objstore-bucket-0002,eu-west-1,,,9333.0,1744.467790487743,5.847498831313591,1.0,0.584970778628111
2026-05-01T19:00:00,Object Storage,objstore-bucket-0003,ap-southeast-1,,,9023.0,3736.309953377255,5.810844407865566,1.0,0.6443045514033486
